model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,cohen_kappa,precision_no-damage,recall_no-damage,f1_no-damage,precision_minor-damage,recall_minor-damage,f1_minor-damage,precision_major-damage,recall_major-damage,f1_major-damage,precision_destroyed,recall_destroyed,f1_destroyed,roc_auc_ovr_macro,best_val_macro_f1,best_epoch,split_used,heldout_disaster,test_support_no-damage,test_support_minor-damage,test_support_major-damage,test_support_destroyed
siamese_change_resnet18,0.395,0.395,0.34111607453309634,0.3411160745330964,0.3678430043016867,0.395,0.21301417174196932,0.19333333333333336,0.5902777777777778,0.34,0.43147208121827413,0.1732283464566929,0.088,0.11671087533156499,0.2787878787878788,0.184,0.2216867469879518,0.42907801418439717,0.968,0.5945945945945946,0.7070493333333333,0.43877077685531035,3,event_holdout,hurricane-matthew,250,250,250,250
early_fusion_resnet18,0.375,0.375,0.319051905419535,0.31905190541953504,0.33169110212335695,0.375,0.17904717509302537,0.16666666666666663,0.2463768115942029,0.204,0.22319474835886213,0.3333333333333333,0.136,0.19318181818181818,0.28,0.196,0.23058823529411765,0.46705426356589147,0.964,0.6292428198433421,0.681584,0.4581271168691329,4,event_holdout,hurricane-matthew,250,250,250,250
post_only_resnet18,0.332,0.332,0.2646582520164118,0.2646582520164118,0.2850390321884929,0.332,0.12469561287831554,0.10933333333333328,0.5508474576271186,0.26,0.3532608695652174,0.045454545454545456,0.016,0.023668639053254437,0.15873015873015872,0.12,0.1366742596810934,0.3851239669421488,0.932,0.5450292397660819,0.6072826666666666,0.4862115133114928,5,event_holdout,hurricane-matthew,250,250,250,250
