epoch,train_loss,val_loss,train_macro_f1,val_macro_f1,train_accuracy,val_accuracy
1,1.14453140398123,1.7414763245401503,0.49900426458701896,0.305404294531496,0.5392359318533815,0.4356540084388186
2,0.9982713518157471,1.3963817463645452,0.5840523474963761,0.4296658006251419,0.623902942694889,0.5485232067510548
3,0.9093823760947926,1.2809737513336954,0.6413304559664178,0.4400433774749306,0.6757872999483737,0.5537974683544303
4,0.8257789555812042,1.221825440221698,0.690579526149036,0.4581271168691329,0.7248322147651006,0.580168776371308
5,0.7640075935921106,1.2433824740381683,0.7237025134750221,0.45548179671715555,0.7545172947857511,0.5854430379746836
